benchmark_id,family_role,value_function,random_index,random_seed,active_gates_json,locked_gates_json,original_group_sizes_json,random_partition_json,group_totals_json,dominance_abs,dominance_norm,top_group,bottom_group,top_drop,bottom_drop,faithfulness_gap,faithfulness_ratio,share_E,share_M,share_X,resource_alignment,expected_group_label,expected_group_gates_json,expected_drop,expected_drop_norm,expected_metric_skip_reason
E5,entanglement_axis,magic,27,103554247,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[0,5],""M"":[1,2],""X"":[3,4]}","{""E"":0.09871939626643537,""M"":0.010154821103488901,""X"":1.4802973661668753e-16}",0.09871939626643522,0.9067288716308961,E,X,0.09871939626643567,4.440892098500626e-16,0.09871939626643522,98675575508.07678,0.9067288716308975,0.09327112835991612,1.3596399606011757e-15,0.09327112835991748,M+X,"[1,2,3,4]",0.010154821103489198,0.09327112835991884,
E5,entanglement_axis,magic,28,729324395,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[1,3],""M"":[0,5],""X"":[2,4]}","{""E"":1.4802973661668753e-16,""M"":0.09871939626643536,""X"":0.010154821103488903}",0.09871939626643521,0.9067288716308961,M,E,0.09871939626643567,4.440892098500626e-16,0.09871939626643522,98675575508.07678,1.3596399606011759e-15,0.9067288716308975,0.09327112835991615,0.9999999999908137,M+X,"[0,2,4,5]",0.10887421736992442,0.999999999990815,
E5,entanglement_axis,magic,29,1029178200,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[1,5],""M"":[0,3],""X"":[2,4]}","{""E"":-7.401486830834377e-17,""M"":0.09871939626643558,""X"":0.010154821103488901}",0.09871939626643551,0.9067288716308978,M,E,0.09871939626643611,0.0,0.09871939626643611,98719396266.43611,6.79819980300587e-16,0.9067288716308983,0.093271128359916,0.9999999999908143,M+X,"[0,2,3,4]",0.10887421736992442,0.999999999990815,
E5,entanglement_axis,magic,30,749772992,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[1,4],""M"":[3,5],""X"":[0,2]}","{""E"":1.4802973661668753e-16,""M"":1.4802973661668753e-16,""X"":0.10887421736992411}",0.10887421736992396,0.9999999999908109,X,E,0.10887421736992442,4.440892098500626e-16,0.10887421736992398,108825888966.88188,1.3596399606011759e-15,1.3596399606011759e-15,0.9999999999908123,0.9999999999908137,M+X,"[0,2,3,5]",0.10887421736992442,0.999999999990815,
E5,entanglement_axis,magic,31,140726891,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[0,5],""M"":[3,4],""X"":[1,2]}","{""E"":0.09871939626643537,""M"":1.4802973661668753e-16,""X"":0.010154821103488901}",0.09871939626643522,0.9067288716308961,E,M,0.09871939626643567,4.440892098500626e-16,0.09871939626643522,98675575508.07678,0.9067288716308975,1.3596399606011757e-15,0.09327112835991612,0.09327112835991748,M+X,"[1,2,3,4]",0.010154821103489198,0.09327112835991884,
E5,entanglement_axis,magic,32,1000840253,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[1,5],""M"":[3,4],""X"":[0,2]}","{""E"":0.0,""M"":2.220446049250313e-16,""X"":0.10887421736992418}",0.10887421736992418,0.999999999990813,X,E,0.10887421736992442,0.0,0.10887421736992442,108874217369.92442,0.0,2.039459940901764e-15,0.999999999990813,0.999999999990815,M+X,"[0,2,3,4]",0.10887421736992442,0.999999999990815,
E5,entanglement_axis,magic,33,1551470510,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[1,3],""M"":[4,5],""X"":[0,2]}","{""E"":1.4802973661668753e-16,""M"":1.4802973661668753e-16,""X"":0.1088742173699241}",0.10887421736992395,0.9999999999908109,X,E,0.10887421736992442,4.440892098500626e-16,0.10887421736992398,108825888966.88188,1.359639960601176e-15,1.359639960601176e-15,0.9999999999908123,0.9999999999908137,M+X,"[0,2,4,5]",0.10887421736992442,0.999999999990815,
E5,entanglement_axis,magic,34,576043931,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[0,1],""M"":[2,5],""X"":[3,4]}","{""E"":0.09871939626643551,""M"":0.010154821103488828,""X"":7.401486830834377e-17}",0.09871939626643544,0.9067288716308983,E,X,0.09871939626643611,4.440892098500626e-16,0.09871939626643567,98675575508.07722,0.9067288716308989,0.09327112835991545,6.798199803005878e-16,0.09327112835991613,M+X,"[2,3,4,5]",0.010154821103489198,0.09327112835991884,
E5,entanglement_axis,magic,35,780098417,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[1,3],""M"":[2,5],""X"":[0,4]}","{""E"":1.4802973661668753e-16,""M"":0.010154821103488901,""X"":0.09871939626643535}",0.0987193962664352,0.9067288716308962,X,E,0.09871939626643567,4.440892098500626e-16,0.09871939626643522,98675575508.07678,1.359639960601176e-15,0.09327112835991615,0.9067288716308975,0.9999999999908137,M+X,"[0,2,4,5]",0.10887421736992442,0.999999999990815,
E5,entanglement_axis,magic,36,1497048144,"[0,1,2,3,4,5]",[],"{""E"":2,""M"":2,""X"":2}","{""E"":[0,1],""M"":[2,3],""X"":[4,5]}","{""E"":0.09871939626643551,""M"":0.010154821103488828,""X"":7.401486830834378e-17}",0.09871939626643544,0.9067288716308983,E,X,0.09871939626643611,4.440892098500626e-16,0.09871939626643567,98675575508.07722,0.9067288716308989,0.09327112835991545,6.79819980300588e-16,0.09327112835991613,M+X,"[2,3,4,5]",0.010154821103489198,0.09327112835991884,
