r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index,convention,svc_c,train_path,test_path,train_shape,test_shape,feature_columns,label_column,train_sha256,test_sha256
1,2-5-6-7,2-5-6-7,1-2-3-5-6-7,4,6,0.471,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
1,2-5-7,2-5-7,1-2-3-5-7,3,5,0.451,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
1,2-6,2-6,1-2-3-6,2,4,0.471,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
1,4,4,1-3-4,1,3,0.592,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
1,4-5-6-7,4-5-6-7,1-3-4-5-6-7,4,6,0.65,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
1,4-5-7,4-5-7,1-3-4-5-7,3,5,0.592,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
1,4-6,4-6,1-3-4-6,2,4,0.662,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
1,5,5,1-3-5,1,3,0.5,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
1,5-6,5-6,1-3-5-6,2,4,0.426,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
1,5-6-7,5-6-7,1-3-5-6-7,3,5,0.426,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
1,5-7,5-7,1-3-5-7,2,4,0.5,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
1,6,6,1-3-6,1,3,0.426,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
1,6-7,6-7,1-3-6-7,2,4,0.426,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
1,7,7,1-3-7,1,3,0.5,2,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,40x2,1000x2,x0|x1,y,486285e43db7df1ddc8e7cc28aa1f96db473c130a853275dad66f4f6f75afefe,601996c04b89d2183367caeaabe6d4ca54dca466af96d04a702271f964ec3c21
